Country,GDP Per Capita
"Qatar",103900
"Liechtenstein",89400
"Bermuda",86000
"Macao SAR, China",82400
"Luxembourg",81100
"Monaco",70700
"Singapore",61400
"Jersey",57000
"Norway",55900
"Falkland Islands (Islas Malvinas)",55400
"Brunei Darussalami",55300
"Isle of Man",53800
"Hong Kong SAR, China",52300
"United States",50700
"United Arab Emirates",49800
"Switzerland",46200
"Guernsey",44600
"Cayman Islands",43800
"Canada",43400
"Australia",43300
"Austria",43100
"Gibraltar",43000
"Netherlands",42900
"Ireland",42600
"Sweden",41900
"Kuwait",40500
"Iceland",39900
"Germany",39700
"Taiwan",39400
"Belgium",38500
"Denmark",38300
"New Caledonia",37700
"United Kingdom",37500
"Greenland",37400
"Andorra",37200
"Finland",37000
"Japan",36900
"San Marino",36200
"France",36100
"European Union",35100
"St. Pierre and Miquelon",34900
"Israel",32800
"Korea, Rep.",32800
"Bahamas, The",31900
"Saudi Arabia",31800
"Spain",31100
"Italy",30600
"Faroe Islands",30500
"New Zealand",30200
"Oman",29600
"Bahrain",29200
"Turks and Caicos Islands",29100
"Slovenia",28700
"Guam",28700
"Czech Republic",27600
"Malta",27500
"Cyprus",27500
"Equatorial Guinea",26400
"Barbados",25800
"Seychelles",25600
"Aruba",25300
"Greece",24900
"Slovak Republic",24600
"Portugal",23800
"Estonia",22100
"French Polynesia",22000
"Lithuania",22000
"Poland",20900
"Trinidad and Tobago",20400
"Hungary",20000
"Chile",18700
"Latvia",18600
"Argentina",18400
"Antigua and Barbuda",18300
"Croatia",18100
"Russian Federation",18000
"Malaysia",17200
"Botswana",17100
"Gabon",16800
"St. Kitts and Nevis",16500
"Puerto Rico",16300
"Uruguay",16200
"Lebanon",16000
"Panama",15900
"Belarus",15900
"Mauritius",15800
"Mexico",15600
"Sint Maarten (Dutch part)",15400
"Turkey",15200
"Curaçao",15000
"Bulgaria",14500
"Virgin Islands (U.S.)",14500
"Dominica",14400
"Kazakhstan",14100
"Grenada",13900
"Venezuela, RB",13800
"Northern Mariana Islands",13600
"Iran, Islamic Rep.",13300
"St. Lucia",13300
"Romania",13000
"Costa Rica",12800
"Suriname",12600
"Libya",12300
"Anguilla",12200
"Brazil",12100
"St. Vincent and the Grenadines",12000
"Montenegro",12000
"South Africa",11600
"Colombia",11000
"Peru",10900
"Macedonia, FYR",10800
"Azerbaijan",10700
"Serbia",10600
"Palau",10500
"Thailand",10300
"Ecuador",10200
"Cuba",10200
"Timor-Leste",10000
"Tunisia",9900
"Dominican Republic",9800
"Maldives",9400
"China",9300
"Jamaica",9300
"Belize",8900
"Turkmenistan",8900
"Marshall Islands",8800
"Bosnia and Herzegovina",8400
"Albania",8200
"Guyana",8100
"American Samoa",8000
"Namibia",7900
"St. Helena, Ascension, and Tristan da Cunha",7800
"Tonga",7700
"El Salvador",7600
"Algeria",7600
"Ukraine",7500
"Micronesia, Fed. Sts.",7500
"Iraq",7200
"Bhutan",6800
"Egypt, Arab Rep.",6700
"Angola",6500
"Samoa",6300
"Paraguay",6200
"Sri Lanka",6200
"Kiribati",6100
"Jordan",6100
"Georgia",6000
"Swaziland",5900
"Armenia",5900
"Niue",5800
"Mongolia",5500
"Morocco",5400
"Guatemala",5300
"Bolivia",5200
"Indonesia",5100
"Syrian Arab Republic",5100
"Nauru",5000
"Vanuatu",5000
"Fiji",4900
"Honduras",4700
"Congo, Rep.",4700
"Philippines",4500
"Nicaragua",4500
"Cabo Verde",4200
"India",3900
"Wallis and Futuna",3800
"Vietnam",3600
"Uzbekistan",3600
"Moldova",3500
"Ghana",3400
"Tuvalu",3400
"Solomon Islands",3400
"Lao PDR",3100
"Pakistan",2900
"West Bank and Gaza",2900
"Papua New Guinea",2800
"Nigeria",2800
"Djibouti",2700
"Sudan",2600
"Western Sahara",2500
"Cambodia",2400
"Kyrgyz Republic",2400
"São Tomé and Principe",2400
"Cameroon",2400
"Yemen, Rep.",2300
"Tajikistan",2300
"Mauritania",2200
"Lesotho",2200
"Senegal",2100
"Bangladesh",2100
"Chad",2000
"Gambia, The",1900
"Côte d'Ivoire",1800
"Korea, Dem. Rep.",1800
"Kenya",1800
"Zambia",1700
"Benin",1700
"Tanzania",1600
"Rwanda",1500
"Burkina Faso",1400
"Uganda",1400
"Sierra Leone",1400
"Burma",1400
"Comoros",1300
"Haiti",1300
"Nepal",1300
"Ethiopia",1200
"Guinea-Bissau",1200
"Mozambique",1200
"Guinea",1100
"Afghanistan",1100
"Mali",1100
"Togo",1100
"South Sudan",1000
"Madagascar",1000
"Tokelau",1000
"Malawi",900
"Central African Republic",800
"Niger",800
"Eritrea",800
"Liberia",700
"Burundi",600
"Zimbabwe",600
"Somalia",600
"Congo, Dem. Rep.",400
"Kosovo",0
